Fecha,Concepto,Clave,Categoria,Nivel1,Nivel2,Nivel3,Nivel4,40002,40012,40014,40021,40030,40036,40037,40042,40044,40058,40059,40060,40062,40072,40102,40103,40106,40108,40110,40112,40113,40124,40126,40127,40128,40129,40130,40131,40132,40133,40136,40137,40138,40139,40140,40141,40143,40145,40147,40148,40149,40150,40151,40152,40154,40155,40156,40157,40158
2016-03-31,Metales preciosos amonedados,110303000000,1,10,30,30,0,"33,645,001","15,829,475","212,170","127,016",0,"3,155,637","165,194","1,205,463",0,"19,188,427","560,511",0,"197,835","31,845,529",0,0,0,0,0,0,0,0,0,"12,767,800",0,0,0,0,"7,461,040","2,055,670","8,316,390",0,"176,200",0,0,0,"12,240,018","159,687","83,400",0,0,0,0,0,0,0,0,0,0
2016-03-31,Otras disponibilidades,110390000000,1,10,39,0,0,0,"82,051,143","26,422,282",0,"6,126,510","7,014,571","97,676",0,0,"2,209,341",0,0,"2,451,295","6,593,600",0,0,0,0,0,"15,153,798",0,0,0,0,"8,570,000",0,0,0,"5,132,918",0,"76,125,765",0,0,0,0,0,"40,603,954","4,628",0,0,0,0,0,0,0,0,0,0,0
2016-03-31,Disponibilidades restringidas o dadas en garantía,110400000000,1,10,40,0,0,"142,640,903,509","131,397,657,060","100,168,323,156","44,635,923,353","13,250,013,775","14,848,850,847","8,400,446,307","7,126,847,932","33,802,112,577","2,659,328,334","2,907,390,143","1,496,946,716","3,292,438,264","48,487,983,935","522,107,618","2,164,036,504","41,027,386,053","7,263,851,803","22,334,496,041","21,066,115,867","4,549,723,853","52,318,672","880,724,737","5,834,531,979","148,563,441","21,952,968,051","1,497,660,367","888,454,482","1,006,271,277","226,580,577","3,037,107,925","362,809,322","158,230,580","329,209,325","120,207,875","37,555,792","10,505,969,552","4,335,670,632","2,317,555",0,"1,806,732","381,035,156","4,238,106","164,330,909",0,0,"111,456,529",0,0
2016-03-31,Banco de México,110403000000,1,10,40,30,0,"31,042,062,067","59,731,964,691","35,901,708,026","21,241,321,828","5,435,118,277","8,628,722,414","4,012,654,898","2,424,226,538","13,523,302,891","1,984,700,077","860,726,594","444,835,181","1,676,177,163","33,480,853,096","166,418,913","1,689,988,801","805,233,329","106,992,580","95,113,999","228,707,264","658,408,470","52,318,672","880,724,730","4,675,897,494","127,820,053","95,220,731","307,920,792","312,077,414","747,909,495","77,267,418","59,336,383","362,809,322","68,521,636",0,"96,145,370","37,555,792","180,241,529","6,634,343","2,317,555",0,"1,806,732","1,035,156","238,106","14,189,730",0,0,0,0,0
2016-03-31,Préstamos interbancarios (Call Money),110404000000,1,10,40,40,0,"20,952,146,319","513,054,578","859,908,325",0,0,"3,546,549,074","4,226,685,970","6,897,081","7,131,551,046","380,948,000","47,000,259","577,559,885","1,585,234,501","9,998,745,233",0,"474,047,703","3,970,405,750","3,188,020,273","3,442,068,426",0,"421,429,172",0,0,"867,318,896",0,0,"1,189,716,599","576,377,068","30,402,998",0,"369,042,579",0,"89,708,944",0,0,0,0,0,0,0,0,"380,000,000","4,000,000","150,141,179",0,0,"111,456,529",0,0
2016-03-31,Divisas a recibir,110405000000,1,10,40,50,0,"90,643,289,803","70,712,784,025","63,406,706,805","23,394,601,525","7,756,063,998","2,673,579,359","47,970,588","4,695,724,313","13,147,243,640","293,680,257","1,999,663,290","465,692,029","31,026,600","5,008,385,606","340,865,324",0,"36,251,746,974","3,968,838,950","18,797,313,616","20,837,408,603","3,468,084,400",0,7,"284,410,500",0,"21,857,747,320",0,0,"193,748,906","149,313,159","2,608,728,963",0,0,"10,560,589",0,0,"9,622,832,635","4,329,036,289",0,0,0,0,0,0,0,0,0,0,0
2016-03-31,Efectivo administrado en fideicomiso,110411000000,1,10,41,10,0,0,0,0,0,0,0,"50,994,038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,Otras disponibilidades restringidas o dadas en garantía,110490000000,1,10,49,0,0,"3,405,320","439,853,766",0,0,"58,831,500",0,"62,140,813",0,"15,000",0,0,"8,859,621",0,0,"14,823,381",0,0,0,0,0,"1,801,811",0,0,"6,905,089","20,743,388",0,"22,976",0,"34,209,878",0,0,0,0,"318,648,736","24,062,505",0,"702,895,388",0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,Cuentas de margen (derivados),115000000000,1,15,0,0,0,"1,152,859,352","2,425,806,724","1,352,129,253","19,770,943",0,"1,881,293,609","4,641",0,"36,242,685",0,"96,775,512","131,877",0,"268,870,364",0,0,0,0,"12,837","670,818,179",0,"6,363,035",0,"235,976,328",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,Efectivo,115001000000,1,15,0,10,0,"1,152,859,352","2,425,806,724","1,305,470,871","19,770,943",0,"1,881,293,609","4,641",0,"36,242,685",0,"96,775,512","131,877",0,"268,870,364",0,0,0,0,"12,837","670,818,179",0,"6,363,035",0,"235,976,328",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
